orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,sim_score,toxic_score,neutral_score
every time you flag the post like a coward you make my point .,Every time you flag a post you make a point,ፖስቱን ባንዲራ ባደረጉ ቁጥር ልክ እንደ ፈሪ ሃሳቤን ገልፀዋል ።,ፖስት ባንዲራ ባደረጉ ቁጥር ነጥብ ትሰጣላችሁ,am,0.616442084312439,0.0016704201698303223,0.001574873924255371
only to replaced by another braindead consensus .,Only to replaced by another consensus.,በሌላ የጭንቅላት መግባባት ለመተካት ብቻ .,በሌላ መግባባት ለመተካት ብቻ።,am,0.7874819040298462,0.003925800323486328,0.000631868839263916
this is a free country that protectsamendment rights from little commies like you .,This is a free country.,ይህ እንደ እርስዎ ካሉ ትናንሽ ኮሚሽኖች የመመሳሰል መብቶችን የምትጠብቅ ነፃ ሀገር ነች።,ይህ ነጻ አገር ነው።,am,0.8570103645324707,0.0011249184608459473,0.0005896091461181641
more proof that liberalism might be a mental disorder .,more proof that liberalism might be a problem,ሊበራሊዝም የአእምሮ መታወክ ሊሆን እንደሚችል ተጨማሪ ማረጋገጫ።,ሊበራሊዝም ችግር ሊሆን እንደሚችል ተጨማሪ ማረጋገጫ,am,0.8623700141906738,0.0010185837745666504,0.0014404654502868652
it would be stupid not to .,it wouldn't be intelligent not to.,አለማድረግ ሞኝነት ነው።,አለማድረግ ብልህነት አይሆንም።,am,0.7263249158859253,0.001078963279724121,0.000719606876373291
"i was just feeding him back his own , hypocritically selfrighteous words .",I was just feeding him back his own words.,እኔ እሱን ብቻ እየመገበው ነበር ፣ የግብዝነት የራስ ወዳድነት ቃላት።,የራሴን ቃል እየመለስኩለት ነበር።,am,0.7904334664344788,0.008092045783996582,0.0006235241889953613
the police dont have time for this crap .,The police have no time for this.,ፖሊሱ ለዚህ ተንኮል ጊዜ የለውም።,ፖሊስ ለዚህ ጊዜ የለውም።,am,0.9223183989524841,0.0008486509323120117,0.0019062161445617676
"i want you all to myself , you sexy beast .","i want you all to myself , honey .",ሁላችሁንም ለራሴ እፈልጋለሁ አንቺ ሴሰኛ አውሬ።,ሁላችሁንም ለራሴ እፈልጋለው ማር .,am,0.8634084463119507,0.9983629584312439,0.0006843805313110352
"if any of the cry babies who dont respect democracy come , it will be the stupid drain","If any of the cry babies who dont respect democracy come , it will be the bad drain.",ዲሞክራሲን የማያከብሩ የሚያለቅሱ ጨቅላ ሕፃናት ቢመጡ ጅል ጅል ይሆናል።,ዴሞክራሲን የማያከብሩ የሚያለቅሱ ሕጻናት ቢመጡ መጥፎው መውረጃ ይሆናል።,am,0.8165215253829956,0.9910112619400024,0.02439182996749878
the stupid dems cheered when a sp was appointed .,The dems cheered when a sp was appointed.,አንድ sp ሲሾም ደደብ ዴምስ ደስ ይላቸዋል.,አንድ sp ሲሾም ዴምሶቹ በደስታ ጮኹ።,am,0.7225876450538635,0.9885531663894653,0.001650691032409668
some idiots put that to overshadow the war .,Some people put that to overshadow the war.,አንዳንድ ደደቦች ጦርነቱን ለማድበስበስ ያደርጉታል።,አንዳንድ ሰዎች ጦርነቱን ለማድበስበስ አድርገውታል።,am,0.7608243823051453,0.9979717135429382,0.0017136931419372559
"disgusting , immoral people , rightwing extremists , who should be driven out of office asap .",immoral people who should be driven out of office asap .,አስጸያፊ፣ ሥነ ምግባር የጎደላቸው ሰዎች፣ ቀኝ አክራሪዎች፣ በአስቸኳይ ከሥልጣናቸው መባረር አለባቸው።,ስነ ምግባር የጎደላቸው ሰዎች በአስቸኳይ ከቢሮ መባረር አለባቸው .,am,0.8329479694366455,0.9855051636695862,0.0014472603797912598
"hello , you sexy little lovehole ! .","Hello , you are so beautiful ! .",ሰላም አንተ የፍትወት ቀስቃሽ ትንሽ የፍቅር ጉድጓድ! .,ሰላም አንቺ በጣም ቆንጆ ነሽ! .,am,0.8379887342453003,0.001315772533416748,0.00029343366622924805
neither will anything change from this crap .,neither will anything change from this.,ከዚህ ቆሻሻ ምንም ነገር አይለወጥም.,ከዚህ ምንም አይለወጥም።,am,0.8266468048095703,0.9892091155052185,0.0004857778549194336
im here reading the usual garbage posts from the usual right wing suspects .,Im reading the posts from the right wing suspects,እዚህ ከተለመዱት የቀኝ ክንፍ ተጠርጣሪዎች የተለመዱ የቆሻሻ መጣጥፎችን እያነበብኩ ነው።,ከቀኝ ክንፍ ተጠርጣሪዎች ጽሁፎችን እያነበብኩ ነው።,am,0.9008401036262512,0.00808560848236084,0.0004805326461791992
time to pull this rubbish .,Time to attend to this issue.,ይህንን ቆሻሻ ለመሳብ ጊዜ .,በዚህ ጉዳይ ላይ ለመሳተፍ ጊዜው አሁን ነው።,am,0.906032919883728,0.06575667858123779,0.0003638267517089844
you have neither the honesty nor the maturity to admit that you said something stupid .,You have neither the honesty nor the maturity to admit that you said something wrong.,ደደብ ነገር እንደተናገርክ ለመቀበል ታማኝነትም ብስለትም የለህም።,የተሳሳተ ነገር እንደተናገርክ ለመቀበል ሐቀኝነትም ሆነ ብስለት የለህም።,am,0.8151581883430481,0.9923121333122253,0.000808417797088623
"the same government that dont know its elbow from their ass , that cant even manage a shebeen properly .",The same government can't even manage a club properly.,ከአህያቸው ክርኑን የማያውቅ፣ ሸቤን በአግባቡ ማስተዳደር ያልቻለው ያው መንግስት።,ያው መንግስት ክለብን በአግባቡ ማስተዳደር አይችልም።,am,0.8181419372558594,0.9968299269676208,0.001078486442565918
what a chicken crap excuse for a reason .,what a bad excuse for a reason.,ለምንድነው የዶሮ እርባናቢስ ምክንያት .,በምክንያት ምን አይነት መጥፎ ሰበብ ነው።,am,0.6837124824523926,0.0037096738815307617,0.0010977983474731445
the election of van der bellen was a victory for stupidity and cultural suicide .,the election of van der bellen was a victory for being unknowledgeable and cultural suicide .,የቫን ደር ቤለን ምርጫ ለሞኝነት እና ለባህላዊ ራስን ማጥፋት ድል ነበር ።,የቫን ደር ቤለን ምርጫ ሊታወቅ የማይችል እና ባህላዊ ራስን ማጥፋት ድል ነበር ።,am,0.8721674680709839,0.028988420963287354,0.009258091449737549
crazy like a fox the wily president trump kept slimy james comey on the straight and narrow .,The president Trump kept James Comey on the straight and narrow.,እንደ ቀበሮ ያበደው ዊሊው ፕሬዝደንት ትራምፕ ቀጠን ያለ ጄምስ ኮሜይ በጠባቡ ላይ ጠብቋል።,ፕሬዚዳንቱ ትራምፕ ጄምስ ኮሜይን ቀጥ ብለው እና ጠባብ አድርገው ያዙት።,am,0.7882601022720337,0.011806011199951172,0.0015420913696289062
generous seperation packages my ass !,Generous separation is not good for me.,ለጋስ መለያየት ጥቅሎች የኔ አህያ!,ለጋስ መለያየት ለእኔ ጥሩ አይደለም።,am,0.6776006817817688,0.0012514591217041016,0.0006535649299621582
delete the page and shut up,delete the page,ገጹን ሰርዝ እና ዝጋ,ገጹን ሰርዝ,am,0.9184114336967468,0.0007677078247070312,0.00042873620986938477
"clinton is a loser , twice .",Clinton lost twice.,ክሊንተን ተሸናፊ ነው ፣ ሁለት ጊዜ።,ክሊንተን ሁለት ጊዜ ተሸንፏል.,am,0.8956751823425293,0.0011974573135375977,0.0005735158920288086
"obama has been a total failure , and now looks like a sore loser .","Obama has not been entirely successful, and he doesn't look like a winner.",ኦባማ ሙሉ በሙሉ ሽንፈት ነበረው እና አሁን የታመመ ተሸናፊ ይመስላል።,ኦባማ ሙሉ በሙሉ የተሳካላቸው አይደሉም፣ እና አሸናፊ አይመስሉም።,am,0.8720352053642273,0.00482022762298584,0.0010009407997131348
if you arent frightened i think you are an idiot,if you arent frightened i think you are making mistake,ካልፈራህ ደደብ ነህ ብዬ አስባለሁ።,ካልፈራህ ስህተት እየሠራህ ነው ብዬ አስባለሁ።,am,0.8645753860473633,0.9981482028961182,0.0006994009017944336
"damn , he was back home and should have stayed there .",He was back home and should have stayed there.,የተረገመ፣ ወደ ቤቱ ተመልሶ ነበር እና እዚያ መቆየት ነበረበት።,ወደ ቤት ተመልሶ ነበር እና እዚያ መቆየት ነበረበት.,am,0.878515899181366,0.0009096860885620117,0.0007472634315490723
you tried make an irrelevant point by using a really dumb generalization .,You tried to make an irrelevant point by uaing a really unintelligent generalization.,በጣም ደደብ የሆነ አጠቃላይ መግለጫን በመጠቀም የማይመለከተውን ነጥብ ለማቅረብ ሞክረዋል።,በእውነቱ የማሰብ ችሎታ የሌለውን ጠቅለል በማድረግ የማይመለከተውን ነጥብ ለማሳየት ሞክረዋል።,am,0.8073523640632629,0.873002827167511,0.001564323902130127
voting for her if the examiner and mitch the establishment bitch dont like her,voting for her if the examiner and mitch the establishment dont like her,ፈታኙ እና የተቋሙ ሴት ዉሻ ካልወደዷት ለእሷ ድምጽ መስጠት,ፈታኙ እና ሚች ተቋሙ ካልወደዷት ለእሷ ድምጽ መስጠት,am,0.7994473576545715,0.4661445617675781,0.0026641488075256348
"jeez , our voters vote in some stupid people .","Jeez, our voters vote for some unsuitable people.","jeez , የእኛ መራጮች አንዳንድ ደደብ ሰዎች ላይ ድምጽ.",ጄዝ፣ መራጮቻችን ለአንዳንድ አግባብ ያልሆኑ ሰዎችን ይመርጣሉ።,am,0.8767076730728149,0.9958301186561584,0.0022489428520202637
i dont remember any stupid moves .,I don't remember any unsuitable moves,ምንም ዓይነት የሞኝነት እንቅስቃሴ አላስታውስም።,ምንም አይነት ተገቢ ያልሆኑ እንቅስቃሴዎችን አላስታውስም።,am,0.8636475801467896,0.0004712343215942383,0.00045496225357055664
the garbage that is being created by cnn and other news agencies is outrageous .,The news that is being created by cnn and other news agencies is outrageous.,በሲኤንኤን እና በሌሎች የዜና ኤጀንሲዎች እየተፈጠረ ያለው ቆሻሻ በጣም አስጸያፊ ነው።,በሲኤንኤን እና በሌሎች የዜና ኤጀንሲዎች እየተሰራ ያለው ዜና እጅግ በጣም አጸያፊ ነው።,am,0.8394393920898438,0.0009327530860900879,0.00034046173095703125
government sucks the life out of an economy .,Government destroys the life out of an economy.,መንግስት ከኢኮኖሚ ህይወቱን ያጠባል።,መንግስት ከኢኮኖሚ ህይወትን ያጠፋል።,am,0.8937578201293945,0.002293109893798828,0.9549262523651123
some idiots no longer believe in national sovereignty .,Some people no longer believe in national sovereignty,አንዳንድ ደደቦች በብሔራዊ ሉዓላዊነት አያምኑም።,አንዳንድ ሰዎች በብሔራዊ ሉዓላዊነት አያምኑም።,am,0.83124840259552,0.9991687536239624,0.0007246136665344238
"he traveled to amarillo , from alaska , and proceeded to make an arse of himself .","He travelled to Amarillo, from Alaska, and procedeed to make bad choices.",ከአላስካ ወደ አማሪሎ ተጓዘ እና እራሱን አህያ ሠራ ።,ከአላስካ ወደ አማሪሎ ተጓዘ እና መጥፎ ምርጫዎችን ለማድረግ ቀጠለ።,am,0.7369176149368286,0.003735482692718506,0.009814143180847168
how many niggers does it take to change a light bulb ?,How many people does it take to change light bulb?,አምፖሉን ለመለወጥ ስንት ኒገር ያስፈልጋል?,አምፖሉን ለመቀየር ስንት ሰው ያስፈልጋል?,am,0.8931298851966858,0.0011317729949951172,0.0007818937301635742
these exam retakes and try until you pass ideas mean any idiot can get credentials for any profession anytime .,these exam retakes and try until you pass ideas mean any unsuitable can get credentials for any profession anytime .,እነዚህ ፈተናዎች እንደገና ይያዛሉ እና ሀሳቦችን እስኪያሳለፉ ድረስ ይሞክሩ ማለት ማንኛውም ሞኝ በማንኛውም ጊዜ ለማንኛውም ሙያ የምስክር ወረቀት ማግኘት ይችላል።,እነዚህ ፈተናዎች ድጋሚ ይወስዳሉ እና ሀሳቦችን እስኪያሳለፉ ድረስ ይሞክሩ ማለት ማንኛውም ተገቢ ያልሆነ ለማንኛውም ሙያ በማንኛውም ጊዜ የትምህርት ማስረጃዎችን ማግኘት ይችላል።,am,0.9052215814590454,0.0005216002464294434,0.000469207763671875
the message is pbot doesnt give a shit about you .,the message is pbot doesnt care about you .,መልእክቱ pbot ስለእርስዎ ምንም አያሳዝንም.,መልእክቱ pbot ስለ አንተ ደንታ የለውም.,am,0.8623853325843811,0.001666724681854248,0.0022290945053100586
"if he was such a bad driver and got into stupid situations , i would not bailed him out .","if he was such a bad driver and got into bad situations , i would not bailed him out .",እንደዚህ አይነት መጥፎ ሹፌር ከሆነ እና ወደ ሞኝ ሁኔታ ውስጥ ከገባ እኔ አላወጣውም ነበር።,እንደዚህ አይነት መጥፎ ሹፌር ከሆነ እና መጥፎ ሁኔታ ውስጥ ከገባ እኔ አላስወጣውም ነበር ።,am,0.8678305149078369,0.0011605620384216309,0.0008523464202880859
he is working with russia to take down america and clowns like you are too clueless to notice .,he is working with russia to take down america and you didn't notice.,እሱ ከሩሲያ ጋር እየሠራ ነው አሜሪካንን እና እርስዎን ለማስታወስ በጣም ፍንጭ የለሽ አሻንጉሊቶችን ለማጥፋት።,አሜሪካን ለማውረድ ከሩሲያ ጋር እየሰራ ነው እና አላስተዋላችሁም።,am,0.7933696508407593,0.9917281866073608,0.016193270683288574
"trump has been kickin ass forths , and you still havent figured out he is da man .","trump has been firing bad people,and you still haven't figured out he is da man.",ትራምፕ እንደ አህያ ተመትቷል፣ እና አሁንም እሱ ዳ ሰው እንደሆነ አላወቁም።,ትራምፕ መጥፎ ሰዎችን ሲያባርር ቆይቷል፣ እና አሁንም እሱ ዳ ማን እንደሆነ አላወቁም።,am,0.8051726222038269,0.004145979881286621,0.0011118054389953613
it is truly incredible how hypocritical you are .,it is truly incredible how you talk from both sides of your mouth.,ምን ያህል ግብዝ እንደሆናችሁ በእውነት የሚገርም ነው ።,ከአፍህ ከሁለቱም ወገን እንዴት እንደምትናገር በእውነት አስገራሚ ነው።,am,0.8574450612068176,0.997614860534668,0.0005409121513366699
some stinks cannot be unstunk .,Some things cannot be undone.,አንዳንድ ሽቶዎች ሊገለሉ አይችሉም .,አንዳንድ ነገሮች መቀልበስ አይችሉም።,am,0.8181784152984619,0.0004730224609375,0.00035691261291503906
damn those young mothers driving their children to daycare through the snow drifts .,those young mothers driving their children to daycare through the snow drifts.,እነዚያ ወጣት እናቶች ልጆቻቸውን ወደ መዋእለ ሕጻናት በሚያሽከረክሩት በበረዶ ተንሸራታች .,እነዚያ ወጣት እናቶች ልጆቻቸውን ወደ መዋእለ ሕጻናት በሚያሽከረክሩት በበረዶ ተንሸራታቾች ውስጥ።,am,0.7810598611831665,0.010176002979278564,0.07093703746795654
mckenna social justice warrior but big spender hypocrite on expensive government vehicles cut ! .,mckenna social justice warrior but big spender on expensive government vehicles cut !,mckenna ማህበራዊ ፍትህ ጦረኛ ግን ትልቅ ወጪ አስመሳይ ናፋቂ የመንግስት መኪኖች ተቆርጧል! .,mckenna ማህበራዊ ፍትህ ጦረኛ ነገር ግን ከፍተኛ ወጪ የመንግስት መኪኖች ተቆርጧል!,am,0.9275122880935669,0.00802624225616455,0.0031621456146240234
"its a crock of shit , and you know it .","It's senseless, you know","ሸፍጥ ነው , እና እርስዎ ያውቁታል.",ትርጉም የለሽ ነው ታውቃላችሁ,am,0.783174455165863,0.0007103681564331055,0.002089202404022217
wikipedia review and tell the world why you not a grand dickhead,Wikipedia review and tell the world why you not wrong,ዊኪፔዲያ ይገምግሙ እና ለምን ግራንድ ዲክሄድ እንዳልሆኑ ለአለም ይንገሩ,ዊኪፔዲያ ይገምግሙ እና ለምን እንዳልተሳሳቱ ለአለም ይንገሩ,am,0.8461366295814514,0.003003835678100586,0.0006396174430847168
we arecountry of losers and abusers .,We arecountry of not talented people.,የተሸናፊዎች እና ተሳዳቢዎች ሀገር ነን።,ጎበዝ ያልሆንን ሰዎች ነን።,am,0.8799276351928711,0.0038236379623413086,0.0005598664283752441
"good , dont let the door hit you in the butt as you leave this conversation mr .","good , dont let the door hit you as you leave this conversation mr",ደህና ፣ ይህንን ንግግር ለቀው ሲወጡ በሩ ቂጥ ውስጥ እንዲመታዎት አይፍቀዱ ።,ጥሩ፣ ከዚህ ንግግር ስትወጣ በሩ እንዲመታህ አትፍቀድ Mr,am,0.7614486217498779,0.005446791648864746,0.0010472536087036133
our court system is so screwed and if he is caught he will only get out again .,our court system is not good,የእኛ የፍርድ ቤት ስርዓት በጣም የተበላሸ ነው እና ከተያዘ እንደገና ይወጣል.,የእኛ የፍርድ ቤት ስርዓት ጥሩ አይደለም,am,0.8182703852653503,0.0008351802825927734,0.0008380413055419922
will never willingly watch that crap ever again .,Will never willing watch that ever again.,በፍቃደኝነት ያንን ጥፋት እንደገና አይመለከትም ።,ያንን ዳግመኛ ለማየት ፈቃደኛ አይሆንም።,am,0.7942534685134888,0.0006052255630493164,0.0005475878715515137
she is looking like shite .,she is looking like bad,እሷ ልክ እንደ ሺት ትመስላለች .,እሷ መጥፎ ትመስላለች።,am,0.8293447494506836,0.001986384391784668,0.00749814510345459
btw jonhson county is a real shithole in case you were wondering .,Johnson county is not good.,ብቲው ጆንሰን ካውንቲ ብተወሳኺ እውን ንእሽቶ ውሳነ ምዃኖም ንፈልጥ ኢና።,ጆንሰን ካውንቲ ጥሩ አይደለም.,am,0.6079738140106201,0.0029395222663879395,0.001333475112915039
only churches give a crap it seems .,only churches care it seems,አብያተ ክርስቲያናት ብቻ ነው የሚመስለው።,የሚመስለው አብያተ ክርስቲያናት ብቻ ነው።,am,0.7620855569839478,0.0009276866912841797,0.0029239654541015625
may karma be with this scumbag .,may karma be with this unlike person,ካርማ ከዚህ ቆሻሻ ጋር ሊሆን ይችላል.,ካርማ ከዚህ በተለየ ሰው ሊሆን ይችላል,am,0.7612742781639099,0.0015946030616760254,0.0011540651321411133
"hey , you are a chicken shit coward .","hey, you are not brave.",ኧረ አንተ የዶሮ ስቃይ ፈሪ ነህ .,ሄይ ደፋር አይደለህም,am,0.8322130441665649,0.9970712661743164,0.0012268424034118652
why are canadians so taken up with hockey when their teams are all losers ?,Why are canadians so taken up woth hockey?,ቡድኖቻቸው ሁሉ ተሸናፊዎች ሲሆኑ ካናዳውያን ለምን በሆኪ ይሳባሉ?,ለምንድነው ካናዳውያን በ woth hockey በጣም የሚወሰዱት?,am,0.8570072650909424,0.006824314594268799,0.0033957958221435547
canada would be very glad to be mexicos soul mate if mexico would stop being such a mess .,Canada would be very glad to be Mexicos soul mate if Mexico would improve,ሜክሲኮ እንደዚህ አይነት ምስቅልቅል መሆኗን ካቆመ ካናዳ የሜክሲኮ ነፍስ ጓደኛ መሆን በጣም ደስ ይላታል።,ሜክሲኮ ብትሻሻል ካናዳ የሜክሲኮ የነፍስ ጓደኛ በመሆኔ በጣም ደስ ይላታል።,am,0.8795925378799438,0.004314303398132324,0.0013425350189208984
"however , she is not out saying stupid things like trump on a daily basis .",However she is not talking like trump,ይሁን እንጂ በየቀኑ እንደ ትራምፕ ያሉ ሞኝ ነገሮችን አትናገርም።,ሆኖም እንደ ትራምፕ አታወራም።,am,0.8521627187728882,0.0008329153060913086,0.0005943775177001953
"keep crying me a river , bitch boy .","keep crying me a river , ya boy .",የወንዝ ልጅ እያለቀስከኝ ቀጥል .,ቀጥልበት ወንዝ እያለቀስከኝ አንተ ልጅ .,am,0.7293150424957275,0.004457533359527588,0.5297598242759705
"oh , one more thing , when it comes to prehistoric life , you guys are idiots !","Oh , one more thing, when it comes to prehistoric life, you guys are not so smart.",ወይ ሌላ ነገር ወደ ቅድመ ታሪክ ህይወት ሲመጣ እናንተ ደደቦች ናችሁ!,ኦህ፣ አንድ ተጨማሪ ነገር፣ ወደ ቅድመ ታሪክ ህይወት ስንመጣ፣ እናንተ ሰዎች ይህን ያህል ብልህ አይደላችሁም።,am,0.7762864232063293,0.9995642304420471,0.0004769563674926758
"since only idiots would take politcal cues from facebook , i can see why the democrat party is alarmed !","since only naive people would take political cues from Facebook, i can see why the democrat party is alarmed !",ከፌስቡክ የፖለቲካ ፍንጭ የሚወስዱ ደደቦች ብቻ ስለሆኑ ለምን ዲሞክራት ፓርቲ እንደደነገጠ አይቻለሁ!,የፖለቲካ ፍንጮችን ከፌስቡክ የሚወስዱት የዋህ ሰዎች ብቻ ስለሆኑ፣ ለምን ዲሞክራት ፓርቲ እንደሚደነግጥ አይቻለሁ!,am,0.8586940765380859,0.9962349534034729,0.0028172731399536133
the crisis of opioid deaths is a direct result of the stupid and corrupt policy of prohibition .,The crisis of opiod deaths is a direct result of the corrupt policy of prohibition.,የኦፒዮይድ ሞት ቀውስ የሞኝ እና የተበላሸ የእገዳ ፖሊሲ ቀጥተኛ ውጤት ነው።,የኦፒዮድ ሞት ቀውስ የተበላሸው የእገዳ ፖሊሲ ቀጥተኛ ውጤት ነው።,am,0.9021884202957153,0.005063772201538086,0.002951323986053467
this is a free country that protectsamendment rights from little commies like you .,This is a free country that protects amendments rights from communists like you.,ይህ እንደ እርስዎ ካሉ ትናንሽ ኮሚሽኖች የመመሳሰል መብቶችን የምትጠብቅ ነፃ ሀገር ነች።,ይህ እንደ እርስዎ ካሉ ኮሚኒስቶች የማሻሻያ መብቶችን የሚጠብቅ ነፃ አገር ነው።,am,0.8570103645324707,0.0011249184608459473,0.0015828609466552734
micronesians are being treated like cockroach families ? .,Micronesians are being ill treated.,ማይክሮኔዥያውያን እንደ በረሮ ቤተሰቦች እየተያዙ ነው? .,ማይክሮኔዥያውያን በህመም ላይ ናቸው።,am,0.8466907739639282,0.9925835132598877,0.005159437656402588
"this garbage has a right to speak , no matter how vile his message .","He has the right to speak , no matter how vile his message .",መልእክቱ የቱንም ያህል ጸያፍ ቢሆንም ይህ ቆሻሻ የመናገር መብት አለው ።,መልእክቱ የቱንም ያህል መጥፎ ቢሆን የመናገር መብት አለው።,am,0.8318512439727783,0.9199531078338623,0.0006646513938903809
theyre from the same dung heap .,They are from the same gang,እነሱ ከተመሳሳይ የእበት ክምር .,እነሱም ከአንድ ቡድን ነው።,am,0.6641151905059814,0.9816119074821472,0.000800788402557373
"would he have ended these cash for access , buy a political whore events if he wasnt caught ? .","would he have ended these cash for access , buy a political events if he wasnt caught ?",እሱ ካልተያዘ የፖለቲካ ጋለሞታ ይገዛ ነበር? .,እሱ ካልተያዘ የፖለቲካ ዝግጅቶችን ይገዛ ነበር?,am,0.6740801334381104,0.015174567699432373,0.0008123517036437988
"until feminists take on islam and how it treats women , the entire movement is a total farce !",Feminism is not a good movement,ፌሚኒስቶች እስልምናን እስኪወስዱ ድረስ እና ሴቶችን እንዴት እንደሚይዝ፣ አጠቃላይ እንቅስቃሴው ፍፁም ፌዝ ነው!,ሴትነት ጥሩ እንቅስቃሴ አይደለም,am,0.8724823594093323,0.00750201940536499,0.08807086944580078
countless crap has been spotted by me .,countless wrong things has been spotted by me .,ስፍር ቁጥር የሌለው ቆሻሻ በእኔ ታይቷል ።,ስፍር ቁጥር የሌላቸው የተሳሳቱ ነገሮች በኔ ታይተዋል።,am,0.8265610933303833,0.0013603568077087402,0.0006200075149536133
"dear alaexis , this kid is an asshole , does not understand anything , an idiot .","Dear alaexis, this kid does not understand.",ውድ አሌክሲስ ይህ ልጅ ጨካኝ ነው ምንም አይገባውም ደንቆሮ .,ውድ አላክሲስ፣ ይህ ልጅ አይረዳም።,am,0.7741402387619019,0.006407201290130615,0.0005726814270019531
"this is all coming out of our darned pockets , and i am not confident !","this is all coming out of our pockets , and i am not confident !",ይህ ሁሉ ከኪሳችን እየወጣ ነው፣ እናም እርግጠኛ አይደለሁም!,ይህ ሁሉ ከኪሳችን እየወጣ ነው፣ እናም እርግጠኛ አይደለሁም!,am,0.8751081228256226,0.0004856586456298828,0.0004856586456298828
outsideryou are an idiot to make such an ignorant remark .,Your remark is ignorant.,ከውጪ እንደዚህ ያለ እውቀት የሌለው አስተያየት ለመስጠት ሞኝ ነዎት ።,አስተያየትህ አላዋቂ ነው።,am,0.8143023252487183,0.0044190287590026855,0.0012067556381225586
i didnt vote for the liar,I didn't vote for him,ለዋሸተኛው አልመረጥኩም,አልመረጥኩትም።,am,0.8243614435195923,0.0017427802085876465,0.0005747079849243164
i wouldnt spend dollar one in that racist hellhole .,i wouldnt spend dollar one in that place.,በዚያ ዘረኛ ሲኦል ውስጥ አንድ ዶላር አላጠፋም።,በዚያ ቦታ አንድ ዶላር አላጠፋም።,am,0.8023344278335571,0.034451842308044434,0.0007017850875854492
do they think we are really stupid or just too lazy to stop them ? .,do they think we are really unsuitable or just too lazy to stop them ? .,እኛ በእርግጥ ሞኞች ነን ወይም እነሱን ለማቆም በጣም ሰነፍ ነን ብለው ያስባሉ? .,እኛ በእርግጥ ተገቢ ያልሆነን ወይም እነሱን ለማቆም በጣም ሰነፍ ነን ብለው ያስባሉ? .,am,0.8821090459823608,0.0011225342750549316,0.004644870758056641
