orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,tt_toxic_new,tt_neutral_new,sim_score,toxic_score,neutral_score
мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка,мы всегда лучше вас жили и живём,"Без һәрвакыт сездән яхшырак яшәдек һәм яшибез. сез шайтаннар. бар, ишәгеңне ваня",без һәрвакыт сездән яхшырак яшәдек һәм яшәдек,tt,без всегда лучше вас жили һәм живём . черти сез ебанные . иди жопу мой ванючка,без всегда лучше вас жили һәм живём,0.9318528175354004,0.9945446252822876,0.9982990622520447
"какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","какой еще вид на жительство? он визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить","яшәү рөхсәте нәрсә ул, бу виза күрсәтә, Испания резиденциясен алу өчен сезгә 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәк.","тагын нинди рөхсәт? ул Испания резиденциясен алу өчен виза күрсәтә. сезгә 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәк",tt,"какой нахрен вид на жительство,ул пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","какой еще вид на жительство? ул визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить",0.8675962090492249,0.0031824111938476562,0.004677474498748779
"какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","какой  вид на жительство,он  визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","яшәү рөхсәте нәрсә ул, бу виза күрсәтә, Испания резиденциясен алу өчен сезгә 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәк.","нинди яшәү рөхсәте, ул виза күрсәтә, Испания резиденциясен алу өчен сезгә 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәк.",tt,"какой нахрен вид на жительство,ул пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","какой  вид на жительство,ул  визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить",0.8675962090492249,0.0031824111938476562,0.0023392438888549805
"какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","Какой вид на жительство? Он визу показывает, чтоб резиденцию испанскую получить, нужно 3,5 года прожить или недвижимость дорогую купить","яшәү рөхсәте нәрсә ул, бу виза күрсәтә, Испания резиденциясен алу өчен сезгә 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәк.","Нинди яшәү рөхсәте? Ул испан резиденциясен алу өчен 3,5 ел яшәргә яки кыйммәтле күчемсез милек сатып алырга кирәклеген күрсәтә",tt,"какой нахрен вид на жительство,ул пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить","какой вид на жительство? ул визу показывает, чтоб резиденцию испанскую получить, нужно 3,5 года прожить или недвижимость дорогую купить",0.8675962090492249,0.0031824111938476562,0.8556089997291565
ну дебил..что с таким чмошником говорить...тебе не на запад..тебе у куев надо..там для тебя все свои будут,"О чем с тобой говорить, тебе не на запад надо, а в Киев ...там для тебя все свои будут","әйбәт, морон ... мин мондый шмукка нәрсә әйтә алам ... сез көнбатышка бармыйсыз ... сезгә Куйда булырга кирәк ... һәрбер кеше сезнең өчен булачак","Мин сезнең белән нәрсә турында сөйләшергә тиеш? Сезгә Көнбатышка барырга кирәк түгел, ә Киевка ... барысы да сезнең өчен булачак",tt,ну дебил..нәрсә белән таким чмошником говорить...тебе түгел на запад..тебе у куев надо..там для тебя все свои будут,"о чем белән тобой говорить, тебе түгел на запад надо, а в киев ...там для тебя все свои будут",0.7920950651168823,0.9686418771743774,0.966643214225769
"жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?","жириновский чертовски прав! не светская львица, а плохая женщина, отгодайте в этом случае кем является блогер?","Жириновский дөрес! социалит түгел, ә фахишә, бу очракта блогер кем дип уйлыйсыз?","Жириновский дөрес! социалит түгел, ә начар хатын, бу очракта блогер кем дип уйлыйсыз?",tt,"жириновский чертовски прав! түгел светская львица, а блядь, отгодайте в этом случае кем является блогер?","жириновский чертовски прав! түгел светская львица, а плохая женщина, отгодайте в этом случае кем является блогер?",0.8200459480285645,0.9994387030601501,0.9994331002235413
"жириновский чертовски прав! не светская львица, а блядь, отгодайте в этом случае кем является блогер?","Жириновский чертовски прав! Не светская львица, а девушка лёгкого поведения,отгодайте в этом случае кем является блогер?","Жириновский дөрес! социалит түгел, ә фахишә, бу очракта блогер кем дип уйлыйсыз?","Жириновский дөрес! Социалит түгел, ә җиңел холыклы кыз, бу очракта блогер кем дип уйлагыз?",tt,"жириновский чертовски прав! түгел светская львица, а блядь, отгодайте в этом случае кем является блогер?","жириновский чертовски прав! түгел светская львица, а девушка лёгкого поведения,отгодайте в этом случае кем является блогер?",0.8200459480285645,0.9994387030601501,0.9992685914039612
Не пытайся меня понять. Не напрягай свои зачатки интеллекта.,"Не пытайся меня понять, все равно не поймете",Мине аңларга тырышма. Акылның рудиментларын кысмагыз.,"Мине аңларга тырышмагыз, сез әле дә аңламассыз",tt,түгел пытайся меня понять. түгел напрягай свои зачатки интеллекта.,"түгел пытайся меня понять, все равно түгел поймете",0.853697657585144,0.002675771713256836,0.00692296028137207
"зато его урода лправдывают, а людей невиных гнобят.купленые и судьи и адвокаты.твари.","Зато его оправдывают ,а людей невинных обижают ,купленные судьи и адвокаты","ләкин аның монстрына дөресен әйтәләр, һәм гаепсез кешеләр сатып алынган судьялар һәм юристлар тарафыннан череп таралалар.","Ләкин ул акланды, сатып алынган судьялар һәм юристлар гаепсез кешеләрне рәнҗетәләр",tt,"зато его урода лправдывают, а людей невиных гнобят.купленые һәм судьи һәм адвокаты.твари.","зато его оправдывают ,а людей невинных обижают ,купленные судьи һәм адвокаты",0.7769627571105957,0.9952781200408936,0.0018506050109863281
"идиоты безголовые, ...бог всё видит, бумеранг существует,...ходите и оглядывайтесь уроды",Бог всё видит. Каждый будет отвечать за свои дела.,"башсыз ахмаклар ... Алла барысын да күрә, бумеранг бар ... йөрегез һәм тирә-якка карагыз",Алла барысын да күрә. Everyoneәркем үз эше өчен җаваплы булачак.,tt,"идиоты безголовые, ...бог всё видит, бумеранг существует,...ходите һәм оглядывайтесь уроды",бог всё видит. каждый будет отвечать өчен свои дела.,0.8714714050292969,0.9936655163764954,0.988796591758728
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.,"Одного не пойму это насколько надо быть бесчеловечными,чтобы у стариков отбирать последнее и отправлять награбленное домой ,
.плохие люди","Мин аңламый торган бер нәрсә - картлардан соңгы әйберләрне алып, аларны талау өчен өйгә җибәрү өчен күпме терлек булырга тиеш.","Мин аңламый торган бер нәрсә - картлардан соңгы әйберләрне алып, талауны өйгә җибәрү өчен кешелексез булырга тиеш,
кешеләр",tt,одного түгел пойму бу насколько надо быть быдлом чтобы у стариков отбирать последнее һәм отправлять на грабленное домой.твари.,"одного түгел пойму бу насколько надо быть бесчеловечными,чтобы у стариков отбирать последнее һәм отправлять награбленное домой ,
.плохие кешеләр",0.756077766418457,0.804668664932251,0.1546608805656433
одного не пойму это насколько надо быть быдлом чтобы у стариков отбирать последнее и отправлять на грабленное домой.твари.,"одного не пойму это кем надо быть, чтобы у стариков отбирать последнее и отправлять награбленное домой.","Мин аңламый торган бер нәрсә - картлардан соңгы әйберләрне алып, аларны талау өчен өйгә җибәрү өчен күпме терлек булырга тиеш.","Мин аңламый торган бер нәрсә - картлардан соңгы әйберләрне алып, талауны өйгә җибәрү өчен син кем булырга тиеш.",tt,одного түгел пойму бу насколько надо быть быдлом чтобы у стариков отбирать последнее һәм отправлять на грабленное домой.твари.,"одного түгел пойму бу кем надо быть, чтобы у стариков отбирать последнее һәм отправлять награбленное домой.",0.756077766418457,0.804668664932251,0.9640464782714844
биба и боба - два долбоёба! один снимает - другой погибает!,Два друга!один снимает другой погибает,Биба һәм Боба - ике ахмак! берсе ата - икенчесе үлә!,"Ике дус! берсе атса, икенчесе үлә",tt,биба һәм боба - два долбоёба! один снимает - другой погибает!,два друга!один снимает другой погибает,0.8666960597038269,0.0018873214721679688,0.2986471652984619
"какая гадость... уничтожать на корню, эту заразу...","Какая гадость... уничтожать на корню, эту болезнь",нинди җирәнгеч ... бу инфекцияне тамырларында юк итү ...,Нинди җирәнгеч ... бу авыруны тамырыннан юк итү,tt,"какая гадость... уничтожать на корню, эту заразу...","какая гадость... уничтожать на корню, эту болезнь",0.8417891263961792,0.9479416608810425,0.9821816086769104
"я вообще ничего не писала, а вот ты постоянно пишешь, что там сука, давай, доказывал","я вообще ничего не писала, а вот ты постоянно пишешь, что там , давай, доказывал","Мин бернәрсә дә язмадым, ләкин сез гел аның кансыз икәнлеген язасыз, әйдә, мин моны расладым","Мин бернәрсә дә язмадым, ләкин сез гел язасыз, монда, мин моны расладым",tt,"я вообще ничего түгел писала, а вот ты постоянно пишешь, нәрсә там сука, давай, доказывал","я вообще ничего түгел писала, а вот ты постоянно пишешь, нәрсә там , давай, доказывал",0.8597722053527832,0.9959293007850647,0.8521481156349182
"я вообще ничего не писала, а вот ты постоянно пишешь, что там сука, давай, доказывал","Я вообще ничего не писала, а вот ты постоянно пишешь, что там , давай, доказывал","Мин бернәрсә дә язмадым, ләкин сез гел аның кансыз икәнлеген язасыз, әйдә, мин моны расладым","Мин бернәрсә дә язмадым, ләкин сез гел язасыз, монда, сез моны расладыгыз",tt,"я вообще ничего түгел писала, а вот ты постоянно пишешь, нәрсә там сука, давай, доказывал","я вообще ничего түгел писала, а вот ты постоянно пишешь, нәрсә там , давай, доказывал",0.8597722053527832,0.9959293007850647,0.4164280295372009
посадить бойцов в кузов им точно пизда,Посадить бойцов в кузов им вероятно не сдобровать,сугышчыларны машина артына кую алар өчен чыннан да зур эш,"Алар, мөгаен, сугышчыларны артка куя алмаслар",tt,посадить бойцов в кузов им точно пизда,посадить бойцов в кузов им вероятно түгел сдобровать,0.666256308555603,0.9948121309280396,0.9993743300437927
посадить бойцов в кузов им точно пизда,"Посадить бойцов в кузов, и им тогда точно будет плохо.",сугышчыларны машина артына кую алар өчен чыннан да зур эш,"Сугышчыларны артка куегыз, аннары алар үзләрен начар хис итәрләр.",tt,посадить бойцов в кузов им точно пизда,"посадить бойцов в кузов, һәм им тогда точно будет плохо.",0.666256308555603,0.9948121309280396,0.9963276982307434
Сидела задумалась как заебала её эта никчёмная жизнь.,Сидела задумалась как надоела ей её эта жизнь.,Ул бу мәгънәсез тормыш аны ничек җыйды дип уйлап утырды.,Ул бу тормыштан ничек арыганы турында уйлады.,tt,сидела задумалась как заебала её эта никчёмная жизнь.,сидела задумалась как надоела ей её эта жизнь.,0.6967708468437195,0.9993170499801636,0.9937641024589539
Сидела задумалась как заебала её эта никчёмная жизнь.,Сидела задумалась как надоела эта жизнь,Ул бу мәгънәсез тормыш аны ничек җыйды дип уйлап утырды.,Мин бу тормыштан ничек арыганым турында утырдым.,tt,сидела задумалась как заебала её эта никчёмная жизнь.,сидела задумалась как надоела эта жизнь,0.6967708468437195,0.9993170499801636,0.9224936962127686
"получается учитель тупой, исправленного отчества не существует! владиморович","Получается учитель не умный,исправленного отчества не существует!Владимирович","Укытучы ахмак булып чыга, төзәтелгән урта исем юк! Владиморович","Укытучы акыллы түгел, төзәтелгән урта исем юк! Владимирович",tt,"получается учитель тупой, исправленного отчества түгел существует! владиморович","получается учитель түгел умный,исправленного отчества түгел существует!владимирович",0.8506672382354736,0.03219270706176758,0.10687726736068726
"получается учитель тупой, исправленного отчества не существует! владиморович","Получается учитель неграмотен, исправленного отчества не существует! Владиморович","Укытучы ахмак булып чыга, төзәтелгән урта исем юк! Владиморович","Укытучы белемсез булып чыга, төзәтелгән урта исем юк! Владиморович",tt,"получается учитель тупой, исправленного отчества түгел существует! владиморович","получается учитель неграмотен, исправленного отчества түгел существует! владиморович",0.8506672382354736,0.03219270706176758,0.14667171239852905
давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!,давно пора и надо установить доску позора куда вывешивать фото этих людей которым плохо когда другим хорошо...народ должен знать своих героев!,"Бу бик югары вакыт, һәм без оят тактасын булдырырга тиеш, анда без башкаларның үзләрен яхшы хис иткәндә үзләрен начар хис иткән фотоларын урнаштыра алабыз ... кешеләр үз геройларын белергә тиеш!","Бу бик югары вакыт, һәм без башкаларны яхшы хис иткәндә начар хис иткән фотоларны кая асарга оят тактасы куярга тиеш ... кешеләр үз геройларын белергә тиеш!",tt,давно пора һәм надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!,давно пора һәм надо установить доску позора куда вывешивать фото этих людей которым плохо когда другим хорошо...народ должен знать своих героев!,0.7781806588172913,0.9054391980171204,0.39560049772262573
давно пора и надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!,"давно пора и надо установить доску позора куда вывешивать фото этих людей, которым плохо когда другим хорошо...народ должен знать своих героев!","Бу бик югары вакыт, һәм без оят тактасын булдырырга тиеш, анда без башкаларның үзләрен яхшы хис иткәндә үзләрен начар хис иткән фотоларын урнаштыра алабыз ... кешеләр үз геройларын белергә тиеш!","Бу бик вакыт, һәм башкалар үзләрен яхшы хис иткәндә үзләрен начар хис иткән фотоларны кая асарга оят тактасы куярга кирәк ... кешеләр үз геройларын белергә тиеш!",tt,давно пора һәм надо установить доску позора куда вывешивать фото этих уродов которым плох когда другим хорошо...народ должен знать своихгероев!,"давно пора һәм надо установить доску позора куда вывешивать фото этих людей, которым плохо когда другим хорошо...народ должен знать своих героев!",0.7781806588172913,0.9054391980171204,0.8837041854858398
"кто голосует за афганскую борзую ,вы ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя","кто голосует за афганскую борзую ,пройдите в себе,знатоки породы","кем әфган тавына тавыш бирә, син акылдан шашасың, үзеңә кер, токымны белүчеләр!","кем әфган тавына тавыш бирә, үзеңә кер, белгечләр токымы",tt,"кто голосует өчен афганскую борзую ,сез ебанулись чтоль,пройдите в себе,знатоки породы,бляяяя","кто голосует өчен афганскую борзую ,пройдите в себе,знатоки породы",0.5863045454025269,0.9982379674911499,0.9965100884437561
